time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnapol_rbs	0.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	proteinX	0.000000	0.000000	0.000000
0.000000	proteinY	0.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-X	0.000000	0.000000	0.000000
1.002141	__proteinX_rbs	0.000000	0.000000	0.000000
1.002141	__proteinY_rbs	0.000000	0.000000	0.000000
1.002141	__ribosome	100.000000	0.000000	0.000000
1.002141	__rnapol_rbs	0.000000	0.000000	0.000000
1.002141	__rnase_site	0.000000	0.000000	0.000000
1.002141	__rnase_site_ext	1.000000	0.000000	0.000000
1.002141	phi1	1.000000	0.000000	0.000000
1.002141	proteinX	0.000000	0.000000	0.000000
1.002141	proteinY	0.000000	0.000000	0.000000
1.002141	rnapol	9.000000	0.000000	0.000000
1.002141	rnapol-X	0.000000	0.000000	0.000000
2.002657	__proteinX_rbs	0.000000	0.000000	0.000000
2.002657	__proteinY_rbs	0.000000	0.000000	0.000000
2.002657	__ribosome	99.000000	0.000000	0.000000
2.002657	__rnapol_rbs	1.000000	0.000000	0.000000
2.002657	__rnase_site	0.000000	0.000000	0.000000
2.002657	__rnase_site_ext	1.000000	0.000000	0.000000
2.002657	phi1	1.000000	0.000000	0.000000
2.002657	proteinX	0.000000	0.000000	0.000000
2.002657	proteinY	0.000000	0.000000	0.000000
2.002657	rnapol	8.000000	1.000000	1.000000
2.002657	rnapol-X	0.000000	0.000000	0.000000
3.007919	__proteinX_rbs	0.000000	0.000000	0.000000
3.007919	__proteinY_rbs	0.000000	0.000000	0.000000
3.007919	__ribosome	97.000000	0.000000	0.000000
3.007919	__rnapol_rbs	3.000000	0.000000	0.000000
3.007919	__rnase_site	0.000000	0.000000	0.000000
3.007919	__rnase_site_ext	3.000000	0.000000	0.000000
3.007919	phi1	1.000000	0.000000	0.000000
3.007919	proteinX	0.000000	0.000000	0.000000
3.007919	proteinY	0.000000	0.000000	0.000000
3.007919	rnapol	6.000000	4.000000	0.750000
3.007919	rnapol-X	0.000000	0.000000	0.000000
3.999843	__proteinX_rbs	0.000000	0.000000	0.000000
3.999843	__proteinY_rbs	0.000000	0.000000	0.000000
3.999843	__ribosome	93.000000	0.000000	0.000000
3.999843	__rnapol_rbs	4.000000	0.000000	0.000000
3.999843	__rnase_site	0.000000	0.000000	0.000000
3.999843	__rnase_site_ext	5.000000	0.000000	0.000000
3.999843	phi1	1.000000	0.000000	0.000000
3.999843	proteinX	0.000000	0.000000	0.000000
3.999843	proteinY	0.000000	0.000000	0.000000
3.999843	rnapol	4.000000	5.000000	1.400000
3.999843	rnapol-X	0.000000	0.000000	0.000000
4.999380	__proteinX_rbs	0.000000	0.000000	0.000000
4.999380	__proteinY_rbs	0.000000	0.000000	0.000000
4.999380	__ribosome	86.000000	0.000000	0.000000
4.999380	__rnapol_rbs	3.000000	0.000000	0.000000
4.999380	__rnase_site	0.000000	0.000000	0.000000
4.999380	__rnase_site_ext	5.000000	0.000000	0.000000
4.999380	phi1	1.000000	0.000000	0.000000
4.999380	proteinX	0.000000	0.000000	0.000000
4.999380	proteinY	0.000000	0.000000	0.000000
4.999380	rnapol	4.000000	6.000000	2.333333
4.999380	rnapol-X	0.000000	0.000000	0.000000
6.000694	__proteinX_rbs	0.000000	0.000000	0.000000
6.000694	__proteinY_rbs	0.000000	0.000000	0.000000
6.000694	__ribosome	82.000000	0.000000	0.000000
6.000694	__rnapol_rbs	6.000000	0.000000	0.000000
6.000694	__rnase_site	0.000000	0.000000	0.000000
6.000694	__rnase_site_ext	7.000000	0.000000	0.000000
6.000694	phi1	1.000000	0.000000	0.000000
6.000694	proteinX	0.000000	0.000000	0.000000
6.000694	proteinY	0.000000	0.000000	0.000000
6.000694	rnapol	3.000000	7.000000	2.571429
6.000694	rnapol-X	0.000000	0.000000	0.000000
6.999331	__proteinX_rbs	1.000000	0.000000	0.000000
6.999331	__proteinY_rbs	0.000000	0.000000	0.000000
6.999331	__ribosome	74.000000	0.000000	0.000000
6.999331	__rnapol_rbs	4.000000	0.000000	0.000000
6.999331	__rnase_site	0.000000	0.000000	0.000000
6.999331	__rnase_site_ext	6.000000	0.000000	0.000000
6.999331	phi1	1.000000	0.000000	0.000000
6.999331	proteinX	0.000000	1.000000	0.000000
6.999331	proteinY	0.000000	0.000000	0.000000
6.999331	rnapol	2.000000	9.000000	2.888889
6.999331	rnapol-X	0.000000	0.000000	0.000000
8.000179	__proteinX_rbs	1.000000	0.000000	0.000000
8.000179	__proteinY_rbs	0.000000	0.000000	0.000000
8.000179	__ribosome	62.000000	0.000000	0.000000
8.000179	__rnapol_rbs	4.000000	0.000000	0.000000
8.000179	__rnase_site	1.000000	0.000000	0.000000
8.000179	__rnase_site_ext	6.000000	0.000000	0.000000
8.000179	phi1	1.000000	0.000000	0.000000
8.000179	proteinX	0.000000	2.000000	0.500000
8.000179	proteinY	0.000000	1.000000	1.000000
8.000179	rnapol	1.000000	9.000000	4.000000
8.000179	rnapol-X	0.000000	0.000000	0.000000
